SRNo P0                 error_P0  rndm1    P1             error_P1  rndm2
419   1.804694945768          10  hlk+04     1.74219E-15       10  hlk+04 
420   0.162498709997           8  kbm+03     2.0077E-14         3  kbm+03 

421   1.23830534423           11  kbm+03     4.047E-14          8  kbm+03 
422   0.140479910179           8  lfl+06     6.7386E-15        20  lfl+06 
423   0.67002629761           14  hfs+04     5.3E-17            6  hfs+04 
424   0.01645292995419539      9  rhc+16     4.33375E-20       17  rhc+16 
425   1.6437260020             5  kbm+03     1.454E-13          3  kbm+03 

426   0.0016879874702211       3  akh+13     6.930E-21          9  akh+13 
427   0.11147243434            9  sdz+10     3.837491E-13      13  sdz+10 
428   0.00516220456226042      3  abb+18     1.85558E-20        5  abb+18 
429   0.0914032309            14  kjk+08     16.1E-15           8  kjk+08 
430   0.306410837119          10  kbm+03     1.784E-15          5  kbm+03 

431   2.40762231135           12  hfs+04     1.7891E-14        11  hfs+04 
432   0.464208010              8  nmc81      3E-15              3  nmc81 
433   1.150590428417          10  hlk+04     2.3046E-16         8  hlk+04 
434   0.579576736318           6  kbm+03     3.504E-16         12  kbm+03 
435   0.0028720063916972       7  cpw+18     -4.6463E-20        9  cpw+18 

436   0.510368133101           8  dsb+98     1.64838E-15       10  dsb+98 
437   0.53350188629            6  bbb+12     1.362E-15          1  bbb+12 
438   0.003408                 0  ckr+15                       0  
439   0.02885155795131         8  bjd+06     0.000067E-15       7  bjd+06 
440   0.661992094032          11  jml+95     1.2512E-15         3  jml+95 

441   1.386368074588           3  hlk+04     9.44850E-16       20  hlk+04 
442   1.1708590770             4  nmc81      6.733E-15         16  nmc81 
443   0.288601695277           5  kbm+03     1.0404E-14         3  kbm+03 
444   0.13902889110            4  sdz+10     5.4628E-14         4  sdz+10 
445   0.0074742242284254       8  rhc+16     1.7662E-20         5  rhc+16 

446   0.326271446035           4  bjd+06     0.1242E-15         4  bjd+11 
447   0.36942669620            6  nmc81      1.144E-15          3  nmc81 
448   0.3303280523313         19  hlk+04     6.1006E-17        20  hlk+04 
449   0.1984514505627          8  dsb+98     1.68714E-15        2  dsb+98 
450   0.0046651629362643      16  drc+16     3.003E-20         18  drc+16 

451   0.123670657887           3  wmp+00     9.63190E-14       11  wmp+00 
452   1.231304776630           4  jcs+17     12.19375E-15       7  jcs+17 
453   2.2023250770             3  mlc+01     4.41E-15          15  mlc+01 
454   6.4520766                6  kgc+01     3.809E-11         13  kgc+01 
455   0.180591500693          10  kbm+03     1.99831E-14       17  kbm+03 

456   0.383830423532          15  hfs+04     3.87E-16           6  hfs+04 
457   0.346908957903          13  kbm+03     4.074E-15          8  kbm+03 
458   0.228324249982           8  bbb+12     0.2090E-15         3  bbb+12 
459   1.8400035414             3  hfs+04     3.14E-15           5  hfs+04 
460   0.9475584093             3  hfs+04     9.239E-14         12  hfs+04 

461   0.099660833480           3  kel+09     29.5322E-15        5  kel+09 
